ingredients,label
"nitrites,tartrazine,acesulfame k,avobenzone",high
"acetic acid,sls,mineral oil,alcohol,maltose",medium
"sodium laureth sulfate,citric acid,sodium benzoate,glycerin,oxybenzone,mineral oil",high
"acesulfame k,salt,trans fat,salicylic acid,phthalates",high
"oxybenzone,phosphoric acid",low
"sulfites,sodium benzoate,fragrance,refined oil",medium
"maltose,nitrates,oats,caramel color,fragrance",high
"sunset yellow,sodium benzoate,octinoxate,carbon dioxide",high
"sunset yellow,hyaluronic acid",low
"fructose,monosodium glutamate,zinc oxide,propylparaben",medium
"maltose,sugar,high fructose corn syrup",medium
"high fructose corn syrup,sodium laureth sulfate,maltose",medium
"octinoxate,fructose,caramel color",medium
"sodium benzoate,hyaluronic acid",low
"msg,phosphoric acid,mineral oil,hydrogenated oil",medium
"oxybenzone,sucralose,citric acid,propylparaben,salt,sodium",high
"nitrates,flavour,glucose syrup",medium
"caffeine,artificial color,acesulfame k,sodium benzoate,sunset yellow,saturated fat",high
"oxybenzone,maltose,alcohol,synthetic fragrance,sls",high
"sunset yellow,vegetable oil,sls,hyaluronic acid",medium
"flavour,high fructose corn syrup,acesulfame k,citric acid,zinc oxide",medium
"tartrazine,nitrates,cocoa,hyaluronic acid,msg,benzene",high
"sls,glucose,aspartame,maltose,fructose",high
"benzene,aspartame,citric acid,caramel color,sodium benzoate",high
"aspartame,trans fat,sodium lauryl sulfate,avobenzone",high
"hydrogenated oil,fructose,wheat flour,methylparaben",medium
"hyaluronic acid,vegetable oil,oxybenzone,glucose syrup,acetic acid",high
"zinc oxide,phosphoric acid",low
"propylparaben,milk,palm oil,phosphoric acid,octinoxate",high
"sucralose,high fructose corn syrup,phosphoric acid,sodium lauryl sulfate",medium
"salicylic acid,carbon dioxide,water,acetic acid,milk,sodium laureth sulfate",medium
"sucralose,palm oil",low
"glycerin,glucose,phthalates",medium
"wheat flour,potassium sorbate,tartrazine,vegetable oil",medium
"methylparaben,nitrites",low
"oats,acesulfame k,high fructose corn syrup,salt,sugar,phosphoric acid",high
"monosodium glutamate,sodium benzoate,cocoa,caramel color,nitrites",high
"sls,octinoxate,hyaluronic acid,fructose",medium
"hyaluronic acid,water,sodium laureth sulfate,sugar,benzene",high
"fructose,palm oil,milk,sulfites",medium
"phthalates,aspartame,sodium lauryl sulfate,monosodium glutamate,sunset yellow,octinoxate",high
"alcohol,methylparaben",low
"synthetic fragrance,sls",low
"potassium sorbate,maltose,aspartame,citric acid,hydrogenated oil,sodium",high
"hyaluronic acid,sodium laureth sulfate,propylparaben,sulfites,salt,palm oil",high
"vegetable oil,benzene,fragrance,flavour,glucose,synthetic fragrance",high
"vegetable oil,cocoa,parabens",low
"milk,mineral oil,benzene",medium
"taurine,alcohol,oats,vegetable oil,sunset yellow",high
"citric acid,high fructose corn syrup,oxybenzone,benzene,milk",high
"wheat flour,sodium benzoate",low
"alcohol,salt,glucose syrup,artificial flavour,fragrance",high
"sodium lauryl sulfate,artificial color,oats,cocoa,artificial flavour,glucose syrup",high
"hydrogenated oil,octinoxate,caramel color,acetic acid,oxybenzone",high
"palm oil,titanium dioxide,salicylic acid,maltose,aspartame",medium
"octinoxate,parabens,sunset yellow",medium
"methylparaben,msg,hydrogenated oil,taurine,trans fat",high
"water,sulfites,tartrazine,coal tar,artificial color",high
"phthalates,fructose,high fructose corn syrup",medium
"sodium,methylparaben,titanium dioxide",low
"wheat flour,flavour,nitrates,benzene",medium
"fragrance,octinoxate,synthetic fragrance,artificial color,zinc oxide",high
"fructose,saturated fat,sodium lauryl sulfate,milk",medium
"hyaluronic acid,aspartame,octinoxate,nitrates,taurine",high
"flavour,artificial flavour,maltose,sls",medium
"maltose,methylparaben,glycerin,caffeine",medium
"caffeine,refined oil,synthetic fragrance,artificial flavour,saturated fat,water",high
"milk,water,phthalates,oxybenzone,artificial color",high
"glucose,sls,nitrites",medium
"artificial color,hydrogenated oil,caramel color,sucralose",high
"nitrates,sodium laureth sulfate,sucralose,artificial flavour,octinoxate,hyaluronic acid",high
"sodium benzoate,glucose",medium
"sodium lauryl sulfate,flavour,maltose",low
"oxybenzone,artificial flavour,taurine,mineral oil,maltose,citric acid",high
"caffeine,artificial flavour,monosodium glutamate,tartrazine,msg",high
"fructose,benzene,palm oil,sulfites,alcohol",high
"zinc oxide,titanium dioxide",low
"sunset yellow,nitrites,citric acid",medium
"saturated fat,alcohol,monosodium glutamate",medium
"phosphoric acid,octinoxate,milk,sodium,nitrites",high
"sodium benzoate,artificial color,cocoa,fragrance,high fructose corn syrup,palm oil",high
"acesulfame k,artificial color,acetic acid",medium
"formaldehyde,titanium dioxide,propylparaben,palm oil,sulfites",high
"sulfites,acesulfame k,glycerin,sodium benzoate,glucose syrup",high
"tartrazine,potassium sorbate,zinc oxide",medium
"water,caffeine,salt,glucose syrup",medium
"msg,potassium sorbate,salicylic acid",low
"sucralose,formaldehyde,maltose,cocoa",medium
"parabens,hydrogenated oil,alcohol,artificial flavour,maltose,avobenzone",high
"tartrazine,parabens,sodium,flavour,wheat flour,salicylic acid",high
"sodium laureth sulfate,carbon dioxide,potassium sorbate,coal tar,sodium benzoate",high
"monosodium glutamate,flavour,phthalates,vegetable oil,sls,caramel color",high
"phthalates,coal tar,msg,salt,sls",high
"mineral oil,fructose,caramel color,glucose syrup,artificial flavour,artificial color",high
"mineral oil,artificial flavour",low
"refined oil,sodium,msg,sulfites,palm oil",high
"propylparaben,caramel color,glucose",medium
"alcohol,carbon dioxide",low
"avobenzone,citric acid,vegetable oil,hyaluronic acid,high fructose corn syrup",medium
"sls,wheat flour,avobenzone,tartrazine,sodium benzoate,synthetic fragrance",high
"avobenzone,sucralose,sodium,wheat flour,sunset yellow",high
"parabens,sulfites",low
"nitrates,salt",low
"aspartame,vegetable oil",low
"nitrites,salt",low
"caramel color,propylparaben,msg,sugar",medium
"hyaluronic acid,sodium benzoate,methylparaben,artificial flavour,phthalates",high
"propylparaben,sugar,glucose syrup,caffeine,coal tar,benzene",high
"artificial flavour,refined oil,coal tar,monosodium glutamate,palm oil",high
"acesulfame k,acetic acid",low
"cocoa,formaldehyde",low
"milk,sugar,glucose syrup,zinc oxide,salicylic acid,water",high
"sodium laureth sulfate,trans fat,aspartame,acetic acid",medium
"nitrites,monosodium glutamate",low
"oxybenzone,acesulfame k,methylparaben,phthalates",high
"phthalates,salicylic acid,alcohol,methylparaben",medium
"tartrazine,aspartame,artificial color,saturated fat",high
"vegetable oil,hyaluronic acid,octinoxate,synthetic fragrance,sodium lauryl sulfate",high
"caramel color,coal tar",low
"aspartame,nitrites",medium
"nitrates,hydrogenated oil,monosodium glutamate,msg,octinoxate,hyaluronic acid",high
"palm oil,caffeine,coal tar,titanium dioxide",medium
"glucose syrup,synthetic fragrance,benzene",medium
"glucose,formaldehyde,sucralose,artificial flavour",high
"glucose,acetic acid,carbon dioxide,octinoxate,hyaluronic acid,sulfites",high
"sucralose,phthalates,propylparaben,refined oil,acetic acid",high
"sugar,monosodium glutamate,sucralose,nitrates",high
"maltose,milk",low
"hydrogenated oil,glycerin,monosodium glutamate",medium
"water,vegetable oil,parabens,saturated fat,zinc oxide,fructose",high
"milk,alcohol,sodium benzoate,titanium dioxide,oats,aspartame",high
"salicylic acid,formaldehyde,sodium laureth sulfate,msg",medium
"sodium laureth sulfate,alcohol,sodium",medium
"phthalates,fructose",low
"synthetic fragrance,glycerin,sls",medium
"coal tar,nitrites,potassium sorbate,aspartame",high
"sodium benzoate,refined oil,palm oil,hyaluronic acid,coal tar,trans fat",high
"alcohol,flavour,phosphoric acid,aspartame,cocoa",medium
"caffeine,cocoa,carbon dioxide,vegetable oil",medium
"benzene,hydrogenated oil,parabens",medium
"zinc oxide,avobenzone",low
"sodium,hyaluronic acid,citric acid,synthetic fragrance,zinc oxide",medium
"hyaluronic acid,sodium,sodium lauryl sulfate,phosphoric acid,sugar",high
"caffeine,fragrance,milk,sodium laureth sulfate",medium
"milk,refined oil,carbon dioxide,nitrates,phosphoric acid,sucralose",high
"phthalates,hyaluronic acid,maltose,tartrazine,synthetic fragrance",high
"refined oil,methylparaben,sodium benzoate,glucose",high
"caffeine,sls,oxybenzone,formaldehyde",high
"mineral oil,salicylic acid,vegetable oil,aspartame,fragrance,octinoxate",high
"carbon dioxide,caffeine,acetic acid,maltose",medium
"wheat flour,flavour,nitrites",medium
"acesulfame k,aspartame,vegetable oil",medium
"citric acid,cocoa",low
"alcohol,trans fat,phthalates,parabens,coal tar,high fructose corn syrup",high
"monosodium glutamate,artificial flavour",low
"glucose syrup,glucose,avobenzone,maltose,salicylic acid,aspartame",high
"glycerin,hyaluronic acid,phosphoric acid,potassium sorbate",medium
"glucose,zinc oxide,alcohol,benzene",medium
"high fructose corn syrup,taurine,oxybenzone,sulfites,acesulfame k",high
"salt,saturated fat,mineral oil,palm oil,trans fat",high
"refined oil,phosphoric acid,formaldehyde,acesulfame k,methylparaben,sulfites",high
"acetic acid,trans fat",low
"monosodium glutamate,milk,nitrites",medium
"taurine,caffeine,mineral oil",medium
"acetic acid,sodium laureth sulfate,parabens,artificial color",medium
"propylparaben,fructose,glucose syrup,maltose",medium
"sodium benzoate,glucose syrup,sodium,sunset yellow",high
"hydrogenated oil,nitrates,sugar",medium
"glycerin,glucose,water",low
"hydrogenated oil,salicylic acid,glucose syrup,alcohol",medium
"flavour,tartrazine,zinc oxide",low
"salicylic acid,hydrogenated oil,flavour,milk",medium
"sunset yellow,sodium laureth sulfate,msg,titanium dioxide,hydrogenated oil",high
"water,sodium lauryl sulfate,synthetic fragrance",medium
"saturated fat,sls",low
"parabens,vegetable oil,fructose,citric acid,glucose",high
"aspartame,sodium benzoate,flavour,caramel color,glycerin",high
"tartrazine,sodium lauryl sulfate,titanium dioxide",medium
"fructose,hyaluronic acid,glycerin,vegetable oil",medium
"sodium benzoate,oxybenzone,nitrates",medium
"milk,sucralose",low
"zinc oxide,sodium benzoate",low
"maltose,cocoa",low
"sodium laureth sulfate,sunset yellow,formaldehyde",medium
"sulfites,nitrates,sucralose",medium
"maltose,cocoa,sodium laureth sulfate,methylparaben",medium
"nitrates,mineral oil,oxybenzone,fragrance,sodium benzoate,coal tar",high
"benzene,trans fat,mineral oil,carbon dioxide,propylparaben,sodium laureth sulfate",high
"sodium benzoate,titanium dioxide,refined oil,sunset yellow,taurine",high
"methylparaben,phthalates,nitrates,acesulfame k,formaldehyde",high
"titanium dioxide,citric acid,fragrance",low
"sulfites,flavour,refined oil,citric acid,avobenzone,titanium dioxide",medium
"sulfites,synthetic fragrance,aspartame,refined oil",high
"carbon dioxide,sodium lauryl sulfate,wheat flour",low
"glucose syrup,fragrance",low
"palm oil,avobenzone,glucose,alcohol,methylparaben,cocoa",high
"coal tar,sodium benzoate",medium
"sunset yellow,artificial flavour",low
"acetic acid,fragrance,salt,cocoa",medium
"oats,titanium dioxide,propylparaben,flavour",low
"mineral oil,high fructose corn syrup,methylparaben,sodium laureth sulfate",medium
"sodium laureth sulfate,alcohol,synthetic fragrance,refined oil,mineral oil",high
"hydrogenated oil,salt,sodium laureth sulfate,sls,caramel color,parabens",high
"palm oil,sulfites,sucralose,hyaluronic acid,wheat flour",medium
"benzene,artificial flavour,nitrites,wheat flour,msg,titanium dioxide",high
"mineral oil,flavour,palm oil",low
"artificial flavour,avobenzone,msg,carbon dioxide,glucose",high
"synthetic fragrance,sodium,mineral oil,water",medium
"carbon dioxide,aspartame",low
"refined oil,oxybenzone,nitrites",medium
"propylparaben,caramel color",low
"flavour,sunset yellow,potassium sorbate,oxybenzone,glucose syrup,glycerin",high
"alcohol,phthalates",low
"trans fat,glycerin,sugar",medium
"alcohol,caramel color",low
"formaldehyde,taurine,nitrates,salicylic acid",medium
"caffeine,methylparaben,glucose",medium
"tartrazine,phosphoric acid",low
"potassium sorbate,sucralose,saturated fat,propylparaben,caffeine,water",high
"parabens,glucose,titanium dioxide,caffeine,fructose",high
"citric acid,phosphoric acid,parabens,artificial flavour,oxybenzone",high
"sulfites,palm oil,nitrites,maltose",medium
"salicylic acid,maltose",low
"nitrates,milk,alcohol,sunset yellow,high fructose corn syrup,saturated fat",high
"water,sucralose,high fructose corn syrup,aspartame",medium
"acetic acid,saturated fat,salt,carbon dioxide,octinoxate",medium
"taurine,glucose,sodium laureth sulfate,oxybenzone,hyaluronic acid,titanium dioxide",high
"potassium sorbate,sodium laureth sulfate,synthetic fragrance,coal tar,sodium,sodium lauryl sulfate",high
"msg,hyaluronic acid,sugar",medium
"sunset yellow,tartrazine,carbon dioxide",medium
"coal tar,sls,oxybenzone",medium
"glycerin,cocoa",low
"mineral oil,sucralose,avobenzone,oxybenzone",medium
"zinc oxide,oxybenzone",low
"trans fat,caffeine,alcohol,high fructose corn syrup,caramel color,water",high
"trans fat,synthetic fragrance,alcohol,taurine,oats,methylparaben",high
"vegetable oil,monosodium glutamate,benzene,propylparaben,titanium dioxide",high
"sodium,oxybenzone,vegetable oil,methylparaben",medium
"sodium benzoate,mineral oil,sunset yellow",medium
"sodium,sucralose,zinc oxide,phthalates",medium
"tartrazine,methylparaben,glycerin,salt,fragrance",high
"sls,salt",low
"trans fat,sugar,methylparaben,acesulfame k,water,glycerin",high
"glycerin,water,oxybenzone,sls,propylparaben",medium
"water,sucralose,vegetable oil",low
"titanium dioxide,flavour,sodium",low
"phthalates,glucose",medium
"milk,sodium lauryl sulfate,salt,sls,palm oil,phthalates",high
"carbon dioxide,glucose syrup,fragrance,cocoa,caffeine,acetic acid",high
"palm oil,potassium sorbate,oxybenzone,alcohol",medium
"glucose,artificial color",medium
"acetic acid,glucose syrup",low
"salt,milk,methylparaben,aspartame,glucose,tartrazine",high
"fructose,salicylic acid,nitrites,aspartame,saturated fat",high
"sodium lauryl sulfate,hydrogenated oil",low
"potassium sorbate,sodium benzoate,artificial flavour",medium
"monosodium glutamate,sodium laureth sulfate,sucralose,phthalates,oxybenzone,nitrates",high
"citric acid,artificial flavour",low
"tartrazine,artificial flavour,glucose syrup",medium
"hyaluronic acid,trans fat,phosphoric acid",medium
"carbon dioxide,titanium dioxide,citric acid,caffeine,high fructose corn syrup",medium
"potassium sorbate,palm oil,synthetic fragrance",medium
"benzene,alcohol,parabens,phthalates,taurine",high
"flavour,avobenzone,titanium dioxide,carbon dioxide,artificial color",medium
"acesulfame k,refined oil,vegetable oil,zinc oxide,glycerin",medium
"vegetable oil,methylparaben,salicylic acid",low
"formaldehyde,tartrazine,oxybenzone",medium
"hydrogenated oil,propylparaben,sodium lauryl sulfate,salicylic acid,zinc oxide,hyaluronic acid",high
"acetic acid,phthalates",low
"wheat flour,carbon dioxide,taurine,propylparaben,coal tar",high
"vegetable oil,nitrates,titanium dioxide,refined oil",medium
"cocoa,avobenzone,monosodium glutamate,saturated fat",medium
"nitrates,sls",low
"msg,citric acid",low
"acetic acid,sugar,milk,acesulfame k,phthalates,salt",high
"artificial color,cocoa,methylparaben",medium
"tartrazine,maltose,wheat flour",medium
"flavour,sls,sucralose,acetic acid,citric acid,saturated fat",medium
"wheat flour,alcohol,zinc oxide,vegetable oil,caramel color,sodium laureth sulfate",high
"flavour,potassium sorbate,salt",low
"artificial color,potassium sorbate,nitrates,alcohol,flavour",high
"propylparaben,citric acid",low
"fructose,sodium,formaldehyde,wheat flour",medium
"sucralose,oats,alcohol,hydrogenated oil",medium
"salicylic acid,wheat flour,fragrance,sunset yellow,cocoa,artificial flavour",high
"phosphoric acid,fragrance,glucose syrup,glucose,nitrates",high
"saturated fat,glucose syrup,avobenzone",medium
"acesulfame k,oats,fragrance,sls",medium
"acetic acid,fructose",low
"oxybenzone,water,acesulfame k",medium
"sodium lauryl sulfate,cocoa,tartrazine,artificial color,sulfites,high fructose corn syrup",high
"octinoxate,high fructose corn syrup,nitrates,citric acid,taurine,salicylic acid",high
"sunset yellow,maltose",low
"fructose,alcohol,sodium",medium
"sodium laureth sulfate,fragrance,hyaluronic acid,msg,oxybenzone,acetic acid",high
"avobenzone,caffeine,sodium,acesulfame k,flavour",high
"water,sodium laureth sulfate,artificial color,trans fat,artificial flavour,sodium lauryl sulfate",high
"caffeine,glycerin,nitrites",medium
"carbon dioxide,methylparaben",low
"msg,phthalates,acetic acid",medium
"fructose,avobenzone,palm oil,sodium lauryl sulfate",medium
"sulfites,high fructose corn syrup,formaldehyde",medium
"wheat flour,water,trans fat",medium
"sodium lauryl sulfate,sodium,acesulfame k,high fructose corn syrup,synthetic fragrance",high
"phthalates,alcohol",low
"zinc oxide,palm oil,synthetic fragrance",medium
"phosphoric acid,sls",low
"sls,citric acid,avobenzone,methylparaben",medium
"titanium dioxide,maltose,synthetic fragrance",medium
"glucose syrup,wheat flour,msg,salt,methylparaben,zinc oxide",high
"palm oil,flavour,sugar",medium
"palm oil,nitrites,aspartame",medium
"sodium laureth sulfate,artificial flavour,acetic acid,sodium benzoate,vegetable oil",high
"coal tar,saturated fat,sugar,taurine,sucralose,carbon dioxide",high
"nitrates,glycerin,coal tar,glucose,water",high
"glucose syrup,sodium lauryl sulfate",low
"oxybenzone,oats,coal tar,vegetable oil,propylparaben,trans fat",high
"sodium,octinoxate,sulfites,cocoa,propylparaben,trans fat",high
"fructose,phosphoric acid,milk,sodium benzoate,msg,sunset yellow",high
"sucralose,octinoxate,fructose,high fructose corn syrup",high
"synthetic fragrance,refined oil,sodium laureth sulfate,saturated fat,alcohol",high
"fructose,sodium lauryl sulfate,vegetable oil",medium
"glucose,titanium dioxide,propylparaben,coal tar",medium
"milk,zinc oxide",low
"palm oil,fragrance",low
"phthalates,nitrates,sucralose",medium
"caramel color,synthetic fragrance,hydrogenated oil",medium
"sodium benzoate,vegetable oil,coal tar,milk,fructose,titanium dioxide",high
"salicylic acid,alcohol,benzene,titanium dioxide,zinc oxide",medium
"sls,hydrogenated oil,benzene,zinc oxide",medium
"mineral oil,artificial flavour,sucralose,avobenzone,acesulfame k,milk",high
"refined oil,flavour",low
"water,titanium dioxide,caramel color,wheat flour,sodium",medium
"glucose,salicylic acid,sodium benzoate,sunset yellow",high
"monosodium glutamate,hydrogenated oil,refined oil",medium
"msg,sodium laureth sulfate,phthalates,caffeine",medium
"tartrazine,acetic acid,citric acid",low
"milk,zinc oxide,tartrazine,phosphoric acid",medium
"octinoxate,aspartame,saturated fat,flavour",medium
"glycerin,oxybenzone,nitrites",medium
"refined oil,glycerin",low
"glucose syrup,carbon dioxide,sodium,caramel color",medium
"zinc oxide,avobenzone",low
