ingredient,category,risk_level,health_effect
nougat (invert sugar,unknown,unknown,unknown
émulsifiant (e471),unknown,unknown,unknown
reduced iron.,unknown,unknown,unknown
shortening (partially hydrogenated,unknown,unknown,unknown
colors: annatto,unknown,unknown,unknown
pretzels (enriched wheat flour,unknown,unknown,unknown
orange juice concentrate),unknown,unknown,unknown
phosphoric acid.,unknown,unknown,unknown
shortening powder (whey powder,unknown,unknown,unknown
artificial flavoring,unknown,unknown,unknown
colour: carotenes,unknown,unknown,unknown
cayenne pepper),unknown,unknown,unknown
yellow 5 lake.,unknown,unknown,unknown
faible teneur en matières grasses (lait) • jus de citron • beurre (lait) • noix de coco déshydratée • coriandre • fécule de maïs • sucre • coriandre moulue • cumin moulu • garam masala moulu (poivre noir grillé • coriandre grillée • macis grillé • graines de fenouil grillées • ecorce de cannelle de chine grillée • clous de girofle grillés • gingembre • cumin grillé • poivre noir • cannelle • macis • graines de cardamome verte grillées • clous de girofle • fenouil • noix de muscade • feuilles de laurier) • cardamome verte moulue • curcuma • graines de cumin • graines de cardamome noire entières • graines de fenouil • paprika moulu • macis moulu • paprika fumé moulu • cannelle moulue • poudre de piment • cardamome verte grillée • clous de girofle • safran • coriandre grillée • cumin grillé • extrait de piment. pour les allergènes,unknown,unknown,unknown
polydextrose,unknown,unknown,unknown
stabilizer (sorbitan tristearate) emulsifier (soy lecithin*).,unknown,unknown,unknown
white wine vinegar. contains 2% or less of: egg yolk,unknown,unknown,unknown
cream.,unknown,unknown,unknown
salted roasted peanuts,unknown,unknown,unknown
whey s,unknown,unknown,unknown
dried garlic,unknown,unknown,unknown
organic sprouted barley,unknown,unknown,unknown
extrait d’ail,unknown,unknown,unknown
apple cider.,unknown,unknown,unknown
6% acidity.,unknown,unknown,unknown
rum flavor],unknown,unknown,unknown
artificial flavor.,unknown,unknown,unknown
pomegranate juice concentrate,unknown,unknown,unknown
basil parmesan cheese (pasteurized milk,unknown,unknown,unknown
sugar cherry puree,unknown,unknown,unknown
vitamino b12. tonditions de congervation d'utiligatlon: a consommer de préférence avril 2018 n' lot l6281a17s5 a conget-vor dang un t*ndroit frais et aec,unknown,unknown,unknown
organic coconut oil,unknown,unknown,unknown
_beurre_ non salé (28%),unknown,unknown,unknown
pretzel salt.,unknown,unknown,unknown
glucose fructose syrup (from wheat),unknown,unknown,unknown
glycerin esters of fatty acids,unknown,unknown,unknown
yellow #6,unknown,unknown,unknown
mango juice,unknown,unknown,unknown
carob bean gum),unknown,unknown,unknown
organic raspberry juice,unknown,unknown,unknown
bell peppers,unknown,unknown,unknown
natural & artificial flavours,unknown,unknown,unknown
natural and artificial flavor.,unknown,unknown,unknown
chili peppers,unknown,unknown,unknown
roasted almonds,unknown,unknown,unknown
organic green and yellow peas,unknown,unknown,unknown
pasteurized milk,unknown,unknown,unknown
ascorbic acid.,unknown,unknown,unknown
fd&c blue @1: egg white,unknown,unknown,unknown
natural coloring (beta carotene and caramel).,unknown,unknown,unknown
nonpa,unknown,unknown,unknown
natural a,unknown,unknown,unknown
_hazelnuts_),unknown,unknown,unknown
gelling agent: pectin,unknown,unknown,unknown
_hühnereiweiss_,unknown,unknown,unknown
fd&c yellow 5 & 6],unknown,unknown,unknown
glycerine,unknown,unknown,unknown
_oeufs_ frais 18%,unknown,unknown,unknown
dill,unknown,unknown,unknown
milk chocolate sugar,unknown,unknown,unknown
enriched with iron (ferric phosphate),unknown,unknown,unknown
vegetable juice (for color),unknown,unknown,unknown
maple syrup,unknown,unknown,unknown
salt organic onion organic garlic powder,unknown,unknown,unknown
lowfat powder,unknown,unknown,unknown
oat flour,unknown,unknown,unknown
sodium stearoyl lactylate,unknown,unknown,unknown
zie de vetgedrukte ingrediënten. niet geschikt voor mensen met een pinda- of andere notenallergie vanwege de productiemethoden. al onze 'made withoutl-producten zijn zorgvuldig afgestemd op klanten met speciale dieeteisen. ze worden bereid in een speciaal gecontroleerde omgeving; u kunt er dus zeker van zijn dat u er veilig van kunt genieten. bewaaradvies ten minste houdbaar tot: zie onderkant verpakking. bij voorkeur koel en droog bewaren. eenmaal geopend,unknown,unknown,unknown
rolled barley,unknown,unknown,unknown
pasteurized milk and cream,unknown,unknown,unknown
carnauba wax).,unknown,unknown,unknown
rebaudioside a,unknown,unknown,unknown
natural and artificial flavor,unknown,unknown,unknown
cider,unknown,unknown,unknown
vitamin & mine,unknown,unknown,unknown
coconut water concentrate,unknown,unknown,unknown
whey powde,unknown,unknown,unknown
soybean oil and silicon dioxide (anticaking agents),unknown,unknown,unknown
emulsifier (soy lecithin),unknown,unknown,unknown
roasted yellow peppers,unknown,unknown,unknown
sweet whey powder,unknown,unknown,unknown
pear juice,unknown,unknown,unknown
wheat flaour,unknown,unknown,unknown
natural flavor). peanut flavored coating (dried cane syrup,unknown,unknown,unknown
contains less than 1% of: corn syrup,unknown,unknown,unknown
natural flavors,unknown,unknown,unknown
antioxygène (e316),unknown,unknown,unknown
anistar,unknown,unknown,unknown
paprika.,unknown,unknown,unknown
sodium benzoate and potassium sorbate (preservatives),unknown,unknown,unknown
white wine and white distilled vinegars,unknown,unknown,unknown
emulsifier (e471),unknown,unknown,unknown
farine de blé (gluten),unknown,unknown,unknown
unsweetened chocolate,unknown,unknown,unknown
cinnamon.,unknown,unknown,unknown
sea salt),unknown,unknown,unknown
xanthan gum,unknown,unknown,unknown
parmesan cheese* (milk cheese culture,unknown,unknown,unknown
organic black beans,unknown,unknown,unknown
concentrated apple puree,unknown,unknown,unknown
parsley) vegetable oil (safflower,unknown,unknown,unknown
romano che,unknown,unknown,unknown
sodium aluminum sulfate,unknown,unknown,unknown
propylene glycol esters of fatty acids,unknown,unknown,unknown
raisins (4%) (raisins,unknown,unknown,unknown
and artificial flavor,unknown,unknown,unknown
émulsifiant : lécithines (_soja_),unknown,unknown,unknown
spring onions,unknown,unknown,unknown
tomates séchées,unknown,unknown,unknown
whole rolled wheat,unknown,unknown,unknown
onion,unknown,unknown,unknown
butter,unknown,unknown,unknown
contains less than 2% of the following: salt,unknown,unknown,unknown
thiamine) - _beurre_ (19%) - sucre - fécule de maïs -poudre à lever: e450,unknown,unknown,unknown
malted milk powder (malted barley,unknown,unknown,unknown
palm kernel,unknown,unknown,unknown
almond butter,unknown,unknown,unknown
thiamin) • dark chocolate chunks (22%) (sugar • cocoa mass • cocoa butter • emulsifier: soya lecithin • vanilla flavouring) • sugar • butter (milk) (18%) • milk chocolate chunks (11 %) (sugar • dried whole milk • cocoa butter • cocoa mass • ü noulsifier: soya lecithin • vanilla flavouring) • raising agent: e450,unknown,unknown,unknown
spices (black pepper,unknown,unknown,unknown
almonds. sugar,unknown,unknown,unknown
ginger root,unknown,unknown,unknown
dried skimmed milk,unknown,unknown,unknown
mango powder,unknown,unknown,unknown
contains 2% or less: soybean oil,unknown,unknown,unknown
calcium bicarbonate to prevent caking and other spices.,unknown,unknown,unknown
lait,unknown,unknown,unknown
100% canola oil .,unknown,unknown,unknown
lemon juice.,unknown,unknown,unknown
purée d’ail,unknown,unknown,unknown
dehydrated garlic. pastry: enriched wheat flour (wheat flour,unknown,unknown,unknown
an antioxidant),unknown,unknown,unknown
expeller pressed high monounsaturated safflower and/or sunflower oil,unknown,unknown,unknown
croute (farine. shortening d'huile de palme et de canola. eau. dextrose. sel. levure. huile vegetale. l-cysteine. propionate de sodium),unknown,unknown,unknown
and yellow 6.,unknown,unknown,unknown
calcium carbonate,unknown,unknown,unknown
licorice root,unknown,unknown,unknown
acidifiant (e326),unknown,unknown,unknown
wheatflour,unknown,unknown,unknown
red 40. chocolate chips - chocolate (sugar,unknown,unknown,unknown
e472b,unknown,unknown,unknown
maple syrup),unknown,unknown,unknown
flavored dried cranberries (cranberries,unknown,unknown,unknown
neotame.,unknown,unknown,unknown
sodium citric,unknown,unknown,unknown
black pepper,unknown,unknown,unknown
sésame,unknown,unknown,unknown
barley malt,unknown,unknown,unknown
mono- and diglycerides,unknown,unknown,unknown
gluten free soy sauce (water,unknown,unknown,unknown
whole spelt flour,unknown,unknown,unknown
emulsifier (soya lecithin),unknown,unknown,unknown
e450,unknown,unknown,unknown
butter (butter fat,unknown,unknown,unknown
malabar nut,unknown,unknown,unknown
organic fenugreek seed,unknown,unknown,unknown
smoke flavor),unknown,unknown,unknown
soybean oil],unknown,unknown,unknown
enriched durum semolina wheat flour,unknown,unknown,unknown
citric),unknown,unknown,unknown
hydrogenated vegetable oil [rapeseed,unknown,unknown,unknown
fd&c red 40,unknown,unknown,unknown
garlic powder),unknown,unknown,unknown
caramel syrup,unknown,unknown,unknown
fécule de pomme de terre,unknown,unknown,unknown
sweetened condensed milk (sucrose,unknown,unknown,unknown
org coconut,unknown,unknown,unknown
cassonade,unknown,unknown,unknown
leavening (sodium bicarbonate,unknown,unknown,unknown
agua,unknown,unknown,unknown
pork snouts,unknown,unknown,unknown
canola),unknown,unknown,unknown
oleoresin paprika,unknown,unknown,unknown
roasted peanuts.,unknown,unknown,unknown
semi-sweet chocolate: (sugar,unknown,unknown,unknown
milk fat and milk solids nonfat),unknown,unknown,unknown
ingrédients: pâte (farine,unknown,unknown,unknown
thiamine,unknown,unknown,unknown
yellow 5 and 6,unknown,unknown,unknown
brownie- sugar,unknown,unknown,unknown
artificial colour (beta carotene).,unknown,unknown,unknown
vitamin d2.,unknown,unknown,unknown
caramel paste (sugar,unknown,unknown,unknown
and soy lecithin.,unknown,unknown,unknown
soya lecithin emulsifier),unknown,unknown,unknown
neotame,unknown,unknown,unknown
calcium chloride). contains 2% or less of: sal,unknown,unknown,unknown
contains 2% or less of: soy flour,unknown,unknown,unknown
organic polenta,unknown,unknown,unknown
thiamine) - canneberges déshydratées sucrées (29%) (sucre - canneberges - antioxydant : acide citrique - huile de tournesol) - sucre - beurre (_lait_) (17%) . sirop de glucose - fécule de maïs - _lait_ en poudre  - poudre à lever: e450,unknown,unknown,unknown
organic soybeans,unknown,unknown,unknown
caramelized hazelnuts (sugar,unknown,unknown,unknown
red wheat flakes,unknown,unknown,unknown
cocoa (processed with alkali),unknown,unknown,unknown
egg yolks (dried),unknown,unknown,unknown
sucre.,unknown,unknown,unknown
whole wheat flour strawberry filling [water,unknown,unknown,unknown
sodium acid pyropho,unknown,unknown,unknown
sucre roux,unknown,unknown,unknown
riboflav,unknown,unknown,unknown
sirop saveur pistache 5 cl : sirop 99,unknown,unknown,unknown
yogurt coating (sugar,unknown,unknown,unknown
pommes de terre (29%),unknown,unknown,unknown
organic california white sushi rice,unknown,unknown,unknown
ginger,unknown,unknown,unknown
sunflower oil.,unknown,unknown,unknown
huile de soya,unknown,unknown,unknown
rye flakes,unknown,unknown,unknown
organic oat and organic corn),unknown,unknown,unknown
nonfat milk*,unknown,unknown,unknown
water. contains 2% or less of: whey,unknown,unknown,unknown
white wine vinegar,unknown,unknown,unknown
soy lecith,unknown,unknown,unknown
milk chocolate (sugar,unknown,unknown,unknown
corn syrup,unknown,unknown,unknown
organic dry roasted peanuts.,unknown,unknown,unknown
lemon juice solids.,unknown,unknown,unknown
lemon oil),unknown,unknown,unknown
cornst,unknown,unknown,unknown
fd&c blue#1,unknown,unknown,unknown
carrageenan gum.,unknown,unknown,unknown
soy lecithin (emulsifier)),unknown,unknown,unknown
garlic*,unknown,unknown,unknown
milled cane sugar,unknown,unknown,unknown
substances laitières modifiées,unknown,unknown,unknown
vin rouge,unknown,unknown,unknown
_barley_ malt powder,unknown,unknown,unknown
sunflower oil),unknown,unknown,unknown
spirulina concentrate,unknown,unknown,unknown
chocolate liquor processed with alkali,unknown,unknown,unknown
dark chocolate coating (unsweetened chocolate,unknown,unknown,unknown
whole egg,unknown,unknown,unknown
100% cold pressed unrefined oil from the first pressing of organic olives.,unknown,unknown,unknown
ground cumin,unknown,unknown,unknown
whole wheat flour,unknown,unknown,unknown
beta carotene [color]),unknown,unknown,unknown
dextrose*.,unknown,unknown,unknown
baking powder [sodium acid pyrophosphate,unknown,unknown,unknown
crispy brown rice (brown rice flour [rice flour,unknown,unknown,unknown
natural and artificial flavors salt.,unknown,unknown,unknown
partially hydrogenated soybean oil.,unknown,unknown,unknown
sour cream (cultured milk,unknown,unknown,unknown
cinnamon & natural apple flavor.,unknown,unknown,unknown
carnauba wax.,unknown,unknown,unknown
red grape juice concentrate),unknown,unknown,unknown
raw apple cider vinegar,unknown,unknown,unknown
dehydrated apple flakes (treated with sodium sulfite and sulfur dioxide to promote color retention),unknown,unknown,unknown
mashed,unknown,unknown,unknown
vinegar,unknown,unknown,unknown
cream),unknown,unknown,unknown
sodium caseionate,unknown,unknown,unknown
organic white basmati rice,unknown,unknown,unknown
dextrose. nitrite de sodium. lactate de sodium,unknown,unknown,unknown
acesulfame potassium,unknown,unknown,unknown
émulsifiant : sucroesters d'acides gras),unknown,unknown,unknown
acai powder,unknown,unknown,unknown
chocolate chips [sugar,unknown,unknown,unknown
calcium ac,unknown,unknown,unknown
sweet lupin flour,unknown,unknown,unknown
lemon flavor,unknown,unknown,unknown
enriched bleached wheat flour [wheat flour,unknown,unknown,unknown
olive oil,unknown,unknown,unknown
aspartame acesulfame k,unknown,unknown,unknown
tocopherols [natural vitamin e]).,unknown,unknown,unknown
natural hickory smoke flavor,unknown,unknown,unknown
unbleached enriched wheat flour (niacin,unknown,unknown,unknown
corn syrup sweetened condensed milk (milk,unknown,unknown,unknown
canola oil),unknown,unknown,unknown
vegetable shortenings (palm oil,unknown,unknown,unknown
extract of malted barley and corn,unknown,unknown,unknown
and cayenne.,unknown,unknown,unknown
vegetable oil [may contain one or more of the following: corn,unknown,unknown,unknown
m whole milk solids,unknown,unknown,unknown
cognac (4.1%),unknown,unknown,unknown
jelling agent: pectin,unknown,unknown,unknown
riboflavin,unknown,unknown,unknown
_haselnusskerne_,unknown,unknown,unknown
cocoa flavored coating (sugar,unknown,unknown,unknown
sodium bicarbonate as leavening agent.,unknown,unknown,unknown
garlic (garlic juice,unknown,unknown,unknown
magnesium,unknown,unknown,unknown
peanut butter* (peanuts,unknown,unknown,unknown
lemon peel*,unknown,unknown,unknown
viandes de porc (86%),unknown,unknown,unknown
smoke flavor.,unknown,unknown,unknown
apple cinnamon glazed walnuts (walnuts,unknown,unknown,unknown
shortening* (partially hydrogenated soybean oil,unknown,unknown,unknown
yellow 6,unknown,unknown,unknown
poivre noir,unknown,unknown,unknown
chocolate. soy lecithinan emulsifier,unknown,unknown,unknown
peach juice concentrate,unknown,unknown,unknown
unbleached],unknown,unknown,unknown
non-hydrogenbated vegetal fat,unknown,unknown,unknown
enzymes pepper,unknown,unknown,unknown
alcohol (to preserve freshness).,unknown,unknown,unknown
granulated garlic,unknown,unknown,unknown
citric acid.,unknown,unknown,unknown
butter beans,unknown,unknown,unknown
vegetable oil (soybean and/or canola),unknown,unknown,unknown
chili powder (spices,unknown,unknown,unknown
gum ara,unknown,unknown,unknown
millet,unknown,unknown,unknown
spices and color,unknown,unknown,unknown
fried in expeller pressed vegetable oil (soybean and/or canola). sauce: water,unknown,unknown,unknown
peanut butter center (peanut butter [dry roasted peanuts,unknown,unknown,unknown
filling: milk,unknown,unknown,unknown
sucre) - sucre - flocons d'_avoine_ (contiennent _gluten_) (12%) - sirop de sucre inverti - gingembre moulu - poudre à lever: e503,unknown,unknown,unknown
vegetable shortening [canola and/or palm oil],unknown,unknown,unknown
caramel,unknown,unknown,unknown
citric acid,unknown,unknown,unknown
black beans,unknown,unknown,unknown
this product may naturally separate. nutrition serves/portions/porties: 5 typical values/valeurs moyenr)es/gemidde!de,unknown,unknown,unknown
malt extract powder,unknown,unknown,unknown
cultured dextrose),unknown,unknown,unknown
ground spices (white pepper,unknown,unknown,unknown
blueberry juice concentrate,unknown,unknown,unknown
methylhydroxypropylcellulose,unknown,unknown,unknown
unbleached wheat flour (wheat flour,unknown,unknown,unknown
organic brown jasmine rice,unknown,unknown,unknown
peanuts flavored dried cranberries (cranberries,unknown,unknown,unknown
wasabi spice (salt,unknown,unknown,unknown
vegetable mono & diglycerides,unknown,unknown,unknown
biotin,unknown,unknown,unknown
cured with: water,unknown,unknown,unknown
mixed tocopherols (to preserve freshness),unknown,unknown,unknown
organic flax seed,unknown,unknown,unknown
organic lemon juice,unknown,unknown,unknown
rolled wheat,unknown,unknown,unknown
low fat,unknown,unknown,unknown
peppermint pieces (sugar,unknown,unknown,unknown
thiamine) - blanc de poulet d’origine britannique (17%) - eau - yaourt à la grecque (_lait_) - riz long grain (eau - riz long grain - huile de tournesol - émulsifiant : e471)   haricots noirs - épinards - mangue - poivrons rouges - poivrons jaunes - purée de mangue - huile de palme - sucre - oignons de printemps - jus de citron vert - huile de colza - épices moulues (gingembre - anis étoilé - clous de girofle -  piment de cayenne - cannelle - graines de fenouil - poivre noir - poivre blanc - cumin) - fécule de maïs - huile de tournesol - miel - poudre à lever : bicarbonate de soude,unknown,unknown,unknown
wheat. i,unknown,unknown,unknown
sodium bicar,unknown,unknown,unknown
natura,unknown,unknown,unknown
fruits 37.4% [fruits confits 21,unknown,unknown,unknown
organic coffee,unknown,unknown,unknown
flavor.,unknown,unknown,unknown
jamaican rum,unknown,unknown,unknown
salted mirin (water,unknown,unknown,unknown
sodium carboxymethylcellulose,unknown,unknown,unknown
vegetable oil (sustainable palm oil),unknown,unknown,unknown
milk chocolate (32%) (sugar,unknown,unknown,unknown
pyrophosphate,unknown,unknown,unknown
asiago ranch seasoning (buttermilk,unknown,unknown,unknown
potassium carbonate; pure butterfat,unknown,unknown,unknown
lemon peel,unknown,unknown,unknown
cardamom],unknown,unknown,unknown
cream wheat flour,unknown,unknown,unknown
microbial rennet annotta [color]),unknown,unknown,unknown
arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. pâtisseries fourrées à la pulpe d'abricot : farine de blé,unknown,unknown,unknown
organic whole soybeans,unknown,unknown,unknown
calcium alginate,unknown,unknown,unknown
canola and/or soybean (with tbhq [preservative]) and/or pam oil,unknown,unknown,unknown
(39%),unknown,unknown,unknown
oyster extractives (oyster,unknown,unknown,unknown
potassium carbonate; caramel sugar syrup,unknown,unknown,unknown
ingredients: dry roasted almonds,unknown,unknown,unknown
extractives of paprik,unknown,unknown,unknown
steel-cut are whole groats sliced.,unknown,unknown,unknown
enzyme modified butter,unknown,unknown,unknown
parsley*. *dehydrated,unknown,unknown,unknown
graines de cumin,unknown,unknown,unknown
_almonds_ (_nut_) (2.3%),unknown,unknown,unknown
calcium disodium edta (retains product freshness),unknown,unknown,unknown
ferrous sulfate,unknown,unknown,unknown
thiamin mononitrate [vitamin b1],unknown,unknown,unknown
natural flavor),unknown,unknown,unknown
nitrite de sodium) ); oignons; chorizo de porc (2%) (viande de porc (90%),unknown,unknown,unknown
bleached [flour,unknown,unknown,unknown
starter distillate]),unknown,unknown,unknown
cream cheese* (cream,unknown,unknown,unknown
butterfat,unknown,unknown,unknown
emulsifier (mono-und diglyderides of fatty acids).,unknown,unknown,unknown
red and green bell pepper,unknown,unknown,unknown
indian sarsaparilla,unknown,unknown,unknown
leaven,unknown,unknown,unknown
whole milk (milk vitamin d3),unknown,unknown,unknown
organic tomato juice,unknown,unknown,unknown
modified food starch.,unknown,unknown,unknown
lemon peel.,unknown,unknown,unknown
apple juice from concentrate,unknown,unknown,unknown
